Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p16t04.csv,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2015 and 2016",,,,,,,,,,,,,,,
Report title: Prisoners in 2016 NCJ 251149,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics (NPS), 2015–2016.",,,,,,,,,,,,,,,
"Author(s): E. Ann Carson, BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 1/2/2018,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, December 31, 2015 and 2016",,,,,,,,,,,,,,,
,,2015,,,,2016,,,,"Percent change, 2015–2016",,,,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total/a,"1,476,847","1,371,879","104,968",,"1,458,173","1,352,684","105,489",,-1.3,%,-1.4,%,0.5,%
Federal/b,,"178,688","167,080","11,608",,"171,482","160,090","11,392",,-4.0,%,-4.2,%,-1.9,%
State/a,,"1,298,159","1,204,799","93,360",,"1,286,691","1,192,594","94,097",,-0.9,%,-1.0,%,0.8,%
,Alabama,"29,762","27,329","2,433",,"27,799","25,593","2,206",,-6.6,,-6.4,,-9.3,
,Alaska/c,"2,261","2,086",175,,"2,089","1,982",107,,-7.6,,-5.0,,-38.9,
,Arizona,"40,952","37,314","3,638",,"40,849","37,131","3,718",,-0.3,,-0.5,,2.2,
,Arkansas,"17,656","16,268","1,388",,"17,476","16,111","1,365",,-1.0,,-1.0,,-1.7,
,California,"129,205","123,474","5,731",,"130,340","124,443","5,897",,0.9,,0.8,,2.9,
,Colorado,"20,041","18,199","1,842",,"19,862","17,963","1,899",,-0.9,,-1.3,,3.1,
,Connecticut/c,"11,220","10,643",577,,"10,365","9,804",561,,-7.6,,-7.9,,-2.8,
,Delaware/c,"4,188","3,963",225,,"4,090","3,889",201,,-2.3,,-1.9,,-10.7,
,Florida,"101,424","94,481","6,943",,"99,974","93,111","6,863",,-1.4,,-1.5,,-1.2,
,Georgia,"51,700","48,127","3,573",,"53,064","49,324","3,740",,2.6,,2.5,,4.7,
,Hawaii/c,"3,769","3,414",355,,"3,629","3,271",358,,-3.7,,-4.2,,0.8,
,Idaho,"7,255","6,327",928,,"7,376","6,416",960,,1.7,,1.4,,3.4,
,Illinois/d,"46,240","43,565","2,675",,"43,657","41,044","2,613",,:,,:,,:,
,Indiana,"27,334","24,794","2,540",,"25,530","23,325","2,205",,-6.6,,-5.9,,-13.2,
,Iowa,"8,816","8,016",800,,"8,998","8,181",817,,2.1,,2.1,,2.1,
,Kansas,"9,578","8,801",777,,"9,628","8,831",797,,0.5,,0.3,,2.6,
,Kentucky,"21,697","19,110","2,587",,"23,018","20,077","2,941",,6.1,,5.1,,13.7,
,Louisiana,"36,347","34,301","2,046",,"35,646","33,665","1,981",,-1.9,,-1.9,,-3.2,
,Maine,"1,754","1,622",132,,"1,828","1,675",153,,4.2,,3.3,,15.9,
,Maryland,"20,408","19,540",868,,"19,821","19,010",811,,-2.9,,-2.7,,-6.6,
,Massachusetts,"8,954","8,549",405,,"8,494","8,140",354,,-5.1,,-4.8,,-12.6,
